round,fdate,winner1,amount1,winner2,amount2,winner3,amount3,winner4,amount4,winner5,amount5
1126,2024-06-29,11,"2,386,382,421",91,"48,077,302","3,114","1,404,957","157,300","50,000","2,626,764","5,000"
1125,2024-06-22,12,"2,195,289,188",78,"56,289,467","3,066","1,432,022","147,313","50,000","2,442,674","5,000"
1124,2024-06-15,10,"2,623,327,913",87,"50,255,324","3,123","1,400,005","158,630","50,000","2,619,643","5,000"
1123,2024-06-08,16,"1,731,310,711",77,"59,958,813","2,945","1,567,684","147,087","50,000","2,456,500","5,000"
1122,2024-06-01,11,"2,556,266,046",99,"47,338,261","2,932","1,598,393","151,473","50,000","2,540,890","5,000"
1121,2024-05-25,11,"2,524,513,262",76,"60,898,347","2,956","1,565,723","148,984","50,000","2,494,773","5,000"
1120,2024-05-18,11,"2,522,163,375",91,"50,812,816","3,049","1,516,552","154,910","50,000","2,532,990","5,000"
1119,2024-05-11,19,"1,396,028,764",97,"45,574,823","3,108","1,422,381","155,000","50,000","2,560,859","5,000"
1118,2024-05-04,19,"1,477,445,132",72,"64,980,226","3,518","1,329,897","145,194","50,000","2,435,050","5,000"
1117,2024-04-27,9,"3,028,385,542",94,"48,325,302","3,161","1,437,071","155,379","50,000","2,567,618","5,000"
1116,2024-04-20,10,"2,695,000,238",114,"39,400,589","2,896","1,550,991","145,548","50,000","2,444,108","5,000"
1115,2024-04-13,12,"2,257,278,282",60,"75,242,610","3,103","1,454,901","158,614","50,000","2,584,491","5,000"
1114,2024-04-06,17,"1,583,813,824",88,"50,994,006","3,221","1,393,193","160,537","50,000","2,574,463","5,000"
1113,2024-03-30,14,"1,987,426,822",57,"81,356,654","2,936","1,579,472","146,997","50,000","2,444,535","5,000"
1112,2024-03-23,10,"2,804,455,650",59,"79,221,912","3,077","1,519,043","148,163","50,000","2,461,430","5,000"
1111,2024-03-16,16,"1,714,662,540",97,"47,138,490","5,096","897,260","171,363","50,000","2,608,760","5,000"
1110,2024-03-09,16,"1,647,392,719",118,"37,229,214","3,654","1,202,258","173,234","50,000","2,747,163","5,000"
1109,2024-03-02,17,"1,584,352,875",84,"53,440,474","3,347","1,341,202","180,255","50,000","2,734,683","5,000"
1108,2024-02-24,14,"1,957,990,849",96,"47,590,056","3,227","1,415,757","157,579","50,000","2,572,268","5,000"
